"","clean_tweet","Subjectivity","polarity","Analysis"
"0","hebat darimana uruguay brp kali masuk final juara tahun baru baru ada pildun dulu sekarang ga ada apa apa mampus kalah lagi ngapain tri nya bakal ngibarin bendera lgbt kalo prancis menang","1","0","Neutral"
"1","diomongin sepakbola not their player sepakbola jelas lebih maju eropa negara paling banyak juara pildun aja eropa peringkat 10 besar aja dominasi eropa semua main bakat lari eropa gimana","0.33333333333333","0.16666666666667","Positive"
"2","messi sengaja menang pildun biar bisa keluar paris","0","0","Neutral"
"3","bayangin belum 2014 kalah final rasa banget euforia bikin pildun spesial messi final ada juara tahan","1","0","Neutral"
"4","nah mungkin ngerasa beri bebas sama pihak selenggara sana akhir berani aja masuk lapang foto2 sama main argentina pegang2 trofi pildun padahal udah liat bahasa tubuh main argen gak nyaman gitu si saltbae gak peka sama","0.33333333333333","0.16666666666667","Positive"
"5","balik pildun gacor lets see in premier league","0","0","Neutral"
"6","gk sekali bangunin klo ronaldo dah menang pildun","0","0","Neutral"
"7","lebih tepat doi rangkul main sepakbola jual makan mahal pesepakbola terus trofi pildun sakral gak semua orang bisa pegang masalah utama doi asal masuk kek sok kenal gitu megang moto trofi","0.33333333333333","0.16666666666667","Positive"
"8","yah andil ronaldo belum mana ada orang portugal mau main bola jarang makan lolos pildun aja cuma kali gak pernah dapet gelar apa internasional","0.33333333333333","0.16666666666667","Positive"
"9","rasa mbappe pas final pildun","1","0","Neutral"
"10","waktu argentina lolos sampe final wc 2014 rasa gk duga karna kualitas main argen biasa aja inget final ada sahur nobar rumah tetangga alhasil messi gagal bawa pulang pildun tahun","0.77777777777778","0.055555555555556","Positive"
"11","bangdo ga ada niat ikut pildun u20 kl juara bisa banggain sama fansnya","0","0","Neutral"
"12","bakal tau bakal ada cowo taek kayak gin nonton bila udh lama ada temen ku baru hype pas pildun kasih liat siapa2 ganteng trus endingnya kamu lahir adzani bukan lempar bola kalo gak salah soal gak jelas ngomongnya","0","0","Neutral"
"13","tibang piala aja diributin piala gak nyawa mau banting cium gpp asal jgn ngaku2 aja salt bae udah juara pildun","0","0","Neutral"
"14","emosi si titit kambing satu liat goat anglat tropi pildun sabar bang","0","0","Neutral"
"15","nendang lawan kasih jari tengah pildun 2018 ngasi jari tengah abis messi cetak gol vs nigeria bom karirnya abis pake doping","0","0","Neutral"
"16","messi omdo kata abis pildun mau pensi eh mau main kata dahal klo ada benzema bisa eksekusi penalti","0.33333333333333","0.16666666666667","Positive"
"17","aguero kyknya bukan squad pildun tp ikut juara","0","0","Neutral"
"18","pas kemarin nobar pildun congrats argentina fifaworldcup fifaworldcup2022","0","0","Neutral"
"19","menang pildun u20","0","0","Neutral"
"20","final pildun u21 menang maria gak cetak gol","1","0","Neutral"
"21","tidak asa tani neymar main pildun tiga kali","0.33333333333333","0.16666666666667","Positive"
"22","terima aja udah lagi udah lama banget gak juara pildun","0","0","Neutral"
"23","smalam mimpi wv update giat jin wamil ada pas nonton pildun bareng anggota wamil ada pas pake baju tentara warna item senjata laras panjang ada pas diri sikap hormat pegang senjata","0","0","Neutral"
"24","diomongin bukan liga lebih negara amerika latin kalah saing fg negara eropa pildun kata mbappe","0","0","Neutral"
"25","yaa rame org nonton pildun bang","0","0","Neutral"
"26","negara indonesia mungkin kalo masuk pildun gasuka bola jadi nonton bola euforia bola emang besar wajar bale ngajak warga nonton bagi skuad tetep ga suka bola kerja","0","0","Neutral"
"27","diomongin bukan liga lebih negara amerika latin gak mampu saing dg benua eropa pildun","0","0","Neutral"
"28","puki bru umur 24 tpi dah maen final pildun ak 24 msih dudok smea smbel bakar surya krn mikerin kapan invoice caer kimak kimak","1","0","Neutral"
"29","kek sama sama rasa finaly udah koplit semua ajang menang messi kek awal ga suka gegara barca messi ngalahin mu thn 2009 ga tau harap awal argentina juara pildun","0","0","Neutral"
"30","nyata eropa susah juara kalau maen amerika latin cuman jerman 2014 juara pildun pas amerika latin jadi tuan rumah","0","0","Neutral"
"31","pildun rusia jd kambing hitam salah satu tacklingny telat padahal lari dr depan bukan bek disalahin sm media tp disalahain","0","0","Neutral"
"32","asa baru pas final pildun maren ngomongin mbappe","1","0","Neutral"
"33","emi martinez menang 2x adu penalti lawan belanda perancis pildun 2022 sergio goycoechea laku pildun 1990 lawan yugoslavia tuan rumah italia bahkan sergio goycoechea mampu juara copa america tahun 93 jadi main baik","0.33333333333333","0.16666666666667","Positive"
"34","sempet lupa martinez quarta knp gak panggil pildun malah bawa juan foyth hadeh","0","0","Neutral"
"35","liat bahkan gak peduli kalian siapa satu olahraga satu tidur luk trofi pildun fansya ribut","0","0","Neutral"
"36","hampa gin rasa gada pildun","0","0","Neutral"
"37","messi fifa sdh resmi gelar baru fifa sdh hadiah pildun spya resmi jdi goat","0","0","Neutral"
"38","udah ada rp pildun","0","0","Neutral"
"39","udah neng bola lama gpp ada ngehype gegara pildun kasih tau sekali main cakep chelsea barca mu kamu tu lahir diadzani gak sundul bola inti selip jancok jancoknya","0.33333333333333","0.16666666666667","Positive"
"40","mungkin idola gagal juara pildun bang jd ngomong ngawur cuma asumsi bukti makanya ga bisa bales","0","0","Neutral"
"41","udah tau dembele ga jalan sampe semifinal mainin aja udahlah akuin aja dembele jelek pildun ga ngejek cuma emang nyata jelek gak perform laga2 besar barca aja ga perform waktu lawan tim2 besar macem madrid munchen","0","0","Neutral"
"42","kalau acu main hebat cuman soal trophy kelas mustafi aja pernah dapet pildun emang mustafi bagus","0.33333333333333","0.16666666666667","Positive"
"43","please baru tidur menit lalu eh bangun gegara suara jk nyanyi lagu pildun","0","0","Neutral"
"44","hwang hee chan jdi tambah bagus abis dri pildun","0","0","Neutral"
"45","ikut temen nobar pildun cafe padahal ga ngerti bola alhasil main ml sendiri mojok belakang sampe kelar gabisa keluar jebak tonton","0.33333333333333","0.16666666666667","Positive"
"46","kalau bapak maseh ade seru bahas messi dg maradona udah ndak bise counter agi udah gelar pildun miss you so bad pak","0.66666666666667","-0.7","Negative"
"47","lumayan alam lawan club epl isi main pildun gk main jelek udh bagus susah klau se tim isi 90 bapuk","0.33333333333333","0.16666666666667","Positive"
"48","tp pwrasaan kmrn pas pildun rame bgt cok","0","0","Neutral"
"49","jesper blomqvist ngga masuk flop kayak yah beli tahun 1998 cuma buat cadang giggs main bisa perform bagus sayang pasca final champion 1999 cidera tahun ga main akhir lego bukan krn abis pildun udah diincer sejak 1996","0.55555555555556","0.11111111111111","Positive"
"50","cara gmn bang hari sblm final pildun akun jg kena pdhl nggk ngapa2in","1","0","Neutral"
"51","justru maria oke smpai mnit 70an org mmng disiapkn final kok klo dybala mmng gk fit krna dimainkn menit akhr trs acuna aja bek sayap crossing bagus hnya uji coba sblm pildun slbhnya gk jelas cuma bisa brtahan","0.7","0.2","Positive"
"52","abang baru pertama kali nonton bola pa gimana saling ngeceng biasa liat pemenang2 pildun dulu kalau selebrasi gimana argentina kalah prancis bakal ngelakuin sama it football culture","0","0","Neutral"
"53","aguero legend argentina ibarat mantan prajurit meski gada kontribusi pildun 2022 ngga tau aja belakang panggung gimana sama main","0.33333333333333","0.16666666666667","Positive"
"54","alhamdulillah pildun kelar akhir poser poser bola tempat nya masing masing","0","0","Neutral"
"55","hilang taring 2018 pildun 2022 masuk final kalah pinalti beban mah benzema aja prancis","1","0","Neutral"
"56","senyum sndiri klo nemu edit messi mnang pildun anying","0","0","Neutral"
"57","iwan copeng kira2 klw timnas juara pildun bs mewek gin jg ga","0","0","Neutral"
"58","akhir liat senyum denger suara tawa waktu live habis perform opening fifa sampe sekarang pildun nya udah selesai anak nya mas belum nampakin diri sosmed waktu nganter seokjin ga liat wajah sama denger suara and know you re not okay koo","0.5","-0.056818181818182","Negative"
"59","kgn final pildun","1","0","Neutral"
"60","grgr pildun kemaren dadak jd punya idola bola suka sama kylian maennya bagus trs suka sama dybala ganteng ganteng ada tengil2nya gitu","0","0","Neutral"
"61","pas nonton pildun cuma facta yaafi milih argentina milih perancis","0","0","Neutral"
"62","gabisa turuuu jam gin memang rawan overthinking asli gara2 pildun habis jadi bingung mau ngapain","0","0","Neutral"
"63","pantes habis kerja rodi iya anjir gegara pildun jadi biasa jam gin bangun mau tidur","0","0","Neutral"
"64","jamal bukan pas pildun bisa bilang gendong timnas","0","0","Neutral"
"65","sumpah seru bet fans2 nya ronaldo belain2 ronaldo terus fans messi cuma kasih pics messi angkat pildun ajg kek savage aja gitu","0","0","Neutral"
"66","gara gara pildun jam tidur ga urus asuu","0","0","Neutral"
"67","gabisa nonton asw ga kek pildun","0","0","Neutral"
"68","hari hari pildun ngedumel lautaro","0","0","Neutral"
"69","suami dong kerja nonton final pildun rumah","1","0","Neutral"
"70","stuju sama farhan efek messi menang pildun bawa neng bisa sampe bulan kek","0","0","Neutral"
"71","susah bro banyak main emang bagus pas timnas club malah kadang biasa aja entah motivasi beda bela negara klub emang banyak kasus main bagus banget pas pildun copa euro pas main klub malah flop","0.33333333333333","0.16666666666667","Positive"
"72","kalo nilai goat cuma liat bisa menang pildun fix bantu wasit var payah bro orang main jauh luar zona nyaman bukti menang lebih banyak trofi lebih layak sebut goat meski jujur bukan fans sejati cr7 he deserve than messi","0.33333333333333","0.16666666666667","Positive"
"73","ada satu orang orang lupa matahin kutu juara dunia gak lolos fase grup prancis final loh jangan ntar pildun lanjut argentina gak lolos fase grup jerman spanyol","1","0","Neutral"
"74","kalo nilai goat cuma liat bisa menang pildun fix bantu wasit var payah sekali bro orang main jauh luar zona nyaman bukti menang lebih banyak trofi lebih layak sebut goat meski jujur bukan fans sejati nya cr7","0.33333333333333","0.16666666666667","Positive"
"75","nikah emang pembukane pildun","0","0","Neutral"
